Label,URGs,Value
<110,URGs 2K,0
<110,URGs 4K,0
<110,URGs 6K,0
<110,URGs 8K,0
<110,URGs 10K,1
<110,URGs 12K,0
<110,URGs 14K,4
<110,URGs 16K,10
<110,URGs 18K,15
<110,URGs 20K,13
<110,URGs 22K,146
110-150,URGs 2K,0
110-150,URGs 4K,1
110-150,URGs 6K,0
110-150,URGs 8K,3
110-150,URGs 10K,2
110-150,URGs 12K,18
110-150,URGs 14K,42
110-150,URGs 16K,75
110-150,URGs 18K,89
110-150,URGs 20K,98
110-150,URGs 22K,2177
150-170,URGs 2K,0
150-170,URGs 4K,0
150-170,URGs 6K,0
150-170,URGs 8K,2
150-170,URGs 10K,5
150-170,URGs 12K,5
150-170,URGs 14K,27
150-170,URGs 16K,35
150-170,URGs 18K,25
150-170,URGs 20K,28
150-170,URGs 22K,766
170-190,URGs 2K,0
170-190,URGs 4K,0
170-190,URGs 6K,0
170-190,URGs 8K,9
170-190,URGs 10K,5
170-190,URGs 12K,25
170-190,URGs 14K,39
170-190,URGs 16K,27
170-190,URGs 18K,23
170-190,URGs 20K,10
170-190,URGs 22K,506
190-220,URGs 2K,3
190-220,URGs 4K,2
190-220,URGs 6K,2
190-220,URGs 8K,4
190-220,URGs 10K,23
190-220,URGs 12K,42
190-220,URGs 14K,36
190-220,URGs 16K,24
190-220,URGs 18K,56
190-220,URGs 20K,50
190-220,URGs 22K,2232
220-240,URGs 2K,0
220-240,URGs 4K,2
220-240,URGs 6K,6
220-240,URGs 8K,6
220-240,URGs 10K,3
220-240,URGs 12K,14
220-240,URGs 14K,5
220-240,URGs 16K,19
220-240,URGs 18K,33
220-240,URGs 20K,58
220-240,URGs 22K,960
240-260,URGs 2K,3
240-260,URGs 4K,18
240-260,URGs 6K,22
240-260,URGs 8K,15
240-260,URGs 10K,16
240-260,URGs 12K,33
240-260,URGs 14K,20
240-260,URGs 16K,18
240-260,URGs 18K,38
240-260,URGs 20K,44
240-260,URGs 22K,362
260-270,URGs 2K,6
260-270,URGs 4K,13
260-270,URGs 6K,26
260-270,URGs 8K,34
260-270,URGs 10K,28
260-270,URGs 12K,39
260-270,URGs 14K,35
260-270,URGs 16K,15
260-270,URGs 18K,23
260-270,URGs 20K,22
260-270,URGs 22K,173
270-290,URGs 2K,24
270-290,URGs 4K,40
270-290,URGs 6K,79
270-290,URGs 8K,126
270-290,URGs 10K,136
270-290,URGs 12K,138
270-290,URGs 14K,137
270-290,URGs 16K,114
270-290,URGs 18K,99
270-290,URGs 20K,90
270-290,URGs 22K,580
>290,URGs 2K,16
>290,URGs 4K,24
>290,URGs 6K,46
>290,URGs 8K,99
>290,URGs 10K,145
>290,URGs 12K,141
>290,URGs 14K,151
>290,URGs 16K,166
>290,URGs 18K,200
>290,URGs 20K,249
>290,URGs 22K,1391
