Year,Parameter,LCZs,date
2012,EOS,LCZ D,198
2012,EOS,LCZ D,198
2012,EOS,LCZ D,216
2012,EOS,LCZ D,216
2012,EOS,LCZ D,148
2012,EOS,LCZ D,148
2012,EOS,LCZ A,359
2012,EOS,LCZ C,156
2012,EOS,LCZ D,156
2012,EOS,LCZ A,217
2012,EOS,LCZ D,217
2012,EOS,LCZ C,152
2012,EOS,LCZ C,145
2012,EOS,LCZ D,145
2012,EOS,LCZ D,147
2012,EOS,LCZ C,147
2012,EOS,LCZ D,163
2012,EOS,LCZ D,163
2012,EOS,LCZ D,164
2012,EOS,LCZ B,154
2012,EOS,LCZ A,154
2012,EOS,LCZ 9,195
2012,EOS,LCZ 9,195
2012,EOS,LCZ D,160
2012,EOS,LCZ A,160
2012,EOS,LCZ A,198
2012,EOS,LCZ A,198
2012,EOS,LCZ D,198
2012,EOS,LCZ D,198
2012,EOS,LCZ D,349
2012,EOS,LCZ C,349
2012,EOS,LCZ A,149
2012,EOS,LCZ B,149
2012,EOS,LCZ D,144
2012,EOS,LCZ A,144
2012,EOS,LCZ A,347
2012,EOS,LCZ A,347
2012,EOS,LCZ D,349
2012,EOS,LCZ D,348
2012,EOS,LCZ D,348
2012,EOS,LCZ F,127
2012,EOS,LCZ F,127
2012,EOS,LCZ D,127
2012,EOS,LCZ 6,127
2012,EOS,LCZ 4,126
2012,EOS,LCZ D,166
2012,EOS,LCZ A,166
2012,EOS,LCZ D,165
2012,EOS,LCZ D,165
2012,EOS,LCZ D,151
2012,EOS,LCZ A,151
2012,EOS,LCZ A,156
2012,EOS,LCZ D,153
2012,EOS,LCZ E,153
2012,EOS,LCZ D,137
2012,EOS,LCZ D,137
2012,EOS,LCZ D,139
2012,EOS,LCZ D,151
2012,EOS,LCZ D,151
2012,EOS,LCZ D,133
2012,EOS,LCZ D,133
2012,EOS,LCZ D,160
2012,EOS,LCZ D,160
2012,EOS,LCZ D,159
2012,EOS,LCZ D,131
2012,EOS,LCZ D,131
2012,EOS,LCZ D,130
2012,EOS,LCZ D,130
2012,EOS,LCZ D,130
2012,EOS,LCZ D,125
2012,EOS,LCZ D,125
2012,EOS,LCZ D,127
2012,EOS,LCZ D,127
2012,EOS,LCZ D,149
2012,EOS,LCZ D,149
2012,EOS,LCZ D,156
2012,EOS,LCZ B,124
2012,EOS,LCZ D,124
2012,EOS,LCZ D,119
2012,EOS,LCZ D,119
2012,EOS,LCZ D,119
2012,EOS,LCZ D,130
2012,EOS,LCZ D,130
2012,EOS,LCZ D,231
2012,EOS,LCZ D,231
2012,EOS,LCZ D,231
2012,EOS,LCZ D,231
2012,EOS,LCZ D,191
2012,EOS,LCZ D,184
2012,EOS,LCZ D,184
2012,EOS,LCZ D,149
2012,EOS,LCZ F,149
2012,EOS,LCZ D,343
2012,EOS,LCZ D,322
2012,EOS,LCZ D,322
2012,EOS,LCZ D,307
2012,EOS,LCZ D,307
2012,EOS,LCZ D,270
2012,EOS,LCZ D,270
2012,EOS,LCZ D,262
2012,EOS,LCZ D,273
2012,EOS,LCZ D,273
2012,EOS,LCZ D,267
2012,EOS,LCZ D,267
2012,EOS,LCZ D,267
2012,EOS,LCZ D,266
2012,EOS,LCZ D,266
2012,EOS,LCZ D,164
2012,EOS,LCZ D,164
2012,EOS,LCZ D,172
2012,EOS,LCZ D,207
2012,EOS,LCZ D,207
2012,EOS,LCZ D,230
2012,EOS,LCZ D,230
2012,EOS,LCZ C,167
2012,EOS,LCZ D,167
2012,EOS,LCZ C,155
2012,EOS,LCZ B,155
2012,EOS,LCZ B,153
2012,EOS,LCZ A,153
2012,EOS,LCZ A,161
2012,EOS,LCZ D,202
2012,EOS,LCZ A,202
2012,EOS,LCZ D,200
2012,EOS,LCZ D,200
2012,EOS,LCZ D,194
2012,EOS,LCZ D,350
2012,EOS,LCZ D,350
2012,EOS,LCZ D,129
2012,EOS,LCZ D,343
2012,EOS,LCZ D,343
2012,EOS,LCZ F,113
2012,EOS,LCZ F,113
2012,EOS,LCZ D,124
2012,EOS,LCZ 6,124
2012,EOS,LCZ D,136
2012,EOS,LCZ D,159
2012,EOS,LCZ D,159
2012,EOS,LCZ D,159
2012,EOS,LCZ D,159
2012,EOS,LCZ D,162
2012,EOS,LCZ D,162
2012,EOS,LCZ D,142
2012,EOS,LCZ D,136
2012,EOS,LCZ D,136
