Year,Parameter,LCZs,date
2012,SOS,LCZ D,28
2012,SOS,LCZ D,28
2012,SOS,LCZ D,32
2012,SOS,LCZ D,2
2012,SOS,LCZ D,189
2012,SOS,LCZ A,189
2012,SOS,LCZ C,14
2012,SOS,LCZ D,14
2012,SOS,LCZ A,5
2012,SOS,LCZ D,5
2012,SOS,LCZ C,1
2012,SOS,LCZ C,362
2012,SOS,LCZ D,362
2012,SOS,LCZ D,355
2012,SOS,LCZ C,353
2012,SOS,LCZ D,353
2012,SOS,LCZ D,353
2012,SOS,LCZ D,362
2012,SOS,LCZ B,362
2012,SOS,LCZ A,356
2012,SOS,LCZ 9,327
2012,SOS,LCZ 9,327
2012,SOS,LCZ D,17
2012,SOS,LCZ A,17
2012,SOS,LCZ A,27
2012,SOS,LCZ D,16
2012,SOS,LCZ D,16
2012,SOS,LCZ D,190
2012,SOS,LCZ A,27
2012,SOS,LCZ B,27
2012,SOS,LCZ D,26
2012,SOS,LCZ A,26
2012,SOS,LCZ A,68
2012,SOS,LCZ A,68
2012,SOS,LCZ D,187
2012,SOS,LCZ D,187
2012,SOS,LCZ D,187
2012,SOS,LCZ D,187
2012,SOS,LCZ D,187
2012,SOS,LCZ F,296
2012,SOS,LCZ F,296
2012,SOS,LCZ D,356
2012,SOS,LCZ 6,356
2012,SOS,LCZ 4,360
2012,SOS,LCZ D,360
2012,SOS,LCZ A,23
2012,SOS,LCZ D,32
2012,SOS,LCZ D,32
2012,SOS,LCZ D,8
2012,SOS,LCZ A,16
2012,SOS,LCZ A,16
2012,SOS,LCZ D,18
2012,SOS,LCZ E,18
2012,SOS,LCZ D,9
2012,SOS,LCZ D,9
2012,SOS,LCZ D,9
2012,SOS,LCZ D,9
2012,SOS,LCZ D,5
2012,SOS,LCZ D,353
2012,SOS,LCZ D,353
2012,SOS,LCZ D,2
2012,SOS,LCZ D,2
2012,SOS,LCZ D,10
2012,SOS,LCZ D,8
2012,SOS,LCZ D,8
2012,SOS,LCZ D,364
2012,SOS,LCZ D,358
2012,SOS,LCZ D,358
2012,SOS,LCZ D,9
2012,SOS,LCZ D,9
2012,SOS,LCZ D,9
2012,SOS,LCZ D,7
2012,SOS,LCZ D,347
2012,SOS,LCZ D,347
2012,SOS,LCZ D,337
2012,SOS,LCZ B,346
2012,SOS,LCZ D,346
2012,SOS,LCZ D,354
2012,SOS,LCZ D,354
2012,SOS,LCZ D,352
2012,SOS,LCZ D,346
2012,SOS,LCZ D,346
2012,SOS,LCZ D,350
2012,SOS,LCZ D,38
2012,SOS,LCZ D,38
2012,SOS,LCZ D,38
2012,SOS,LCZ D,19
2012,SOS,LCZ D,19
2012,SOS,LCZ D,8
2012,SOS,LCZ D,8
2012,SOS,LCZ F,8
2012,SOS,LCZ D,37
2012,SOS,LCZ D,39
2012,SOS,LCZ D,39
2012,SOS,LCZ D,41
2012,SOS,LCZ D,101
2012,SOS,LCZ D,101
2012,SOS,LCZ D,80
2012,SOS,LCZ D,80
2012,SOS,LCZ D,80
2012,SOS,LCZ D,60
2012,SOS,LCZ D,19
2012,SOS,LCZ D,19
2012,SOS,LCZ D,19
2012,SOS,LCZ D,12
2012,SOS,LCZ D,12
2012,SOS,LCZ D,15
2012,SOS,LCZ D,15
2012,SOS,LCZ D,20
2012,SOS,LCZ D,40
2012,SOS,LCZ D,40
2012,SOS,LCZ D,4
2012,SOS,LCZ C,15
2012,SOS,LCZ D,15
2012,SOS,LCZ C,11
2012,SOS,LCZ B,327
2012,SOS,LCZ B,327
2012,SOS,LCZ A,327
2012,SOS,LCZ A,325
2012,SOS,LCZ A,325
2012,SOS,LCZ D,26
2012,SOS,LCZ A,26
2012,SOS,LCZ D,29
2012,SOS,LCZ D,33
2012,SOS,LCZ D,33
2012,SOS,LCZ D,186
2012,SOS,LCZ D,23
2012,SOS,LCZ D,23
2012,SOS,LCZ D,201
2012,SOS,LCZ D,201
2012,SOS,LCZ F,201
2012,SOS,LCZ F,306
2012,SOS,LCZ F,306
2012,SOS,LCZ D,354
2012,SOS,LCZ 6,354
2012,SOS,LCZ D,356
2012,SOS,LCZ D,356
2012,SOS,LCZ D,12
2012,SOS,LCZ D,20
2012,SOS,LCZ D,20
2012,SOS,LCZ D,29
2012,SOS,LCZ D,21
2012,SOS,LCZ D,21
2012,SOS,LCZ D,4
2012,SOS,LCZ D,4
2012,SOS,LCZ D,359
2012,SOS,LCZ D,15
2012,SOS,LCZ D,15
2012,SOS,LCZ D,15
2012,SOS,LCZ D,22
2012,SOS,LCZ D,17
2012,SOS,LCZ D,17
2012,SOS,LCZ D,9
2012,SOS,LCZ D,9
2012,SOS,LCZ D,7
2012,SOS,LCZ D,0
2012,SOS,LCZ D,0
2012,SOS,LCZ D,357
2012,SOS,LCZ D,360
2012,SOS,LCZ D,360
2012,SOS,LCZ D,362
2012,SOS,LCZ D,362
2012,SOS,LCZ D,362
2012,SOS,LCZ D,4
2012,SOS,LCZ D,357
2012,SOS,LCZ D,357
2012,SOS,LCZ D,346
2012,SOS,LCZ B,354
2012,SOS,LCZ D,354
2012,SOS,LCZ D,337
2012,SOS,LCZ D,337
2012,SOS,LCZ D,340
2012,SOS,LCZ D,338
2012,SOS,LCZ D,338
2012,SOS,LCZ D,3
2012,SOS,LCZ D,66
2012,SOS,LCZ D,66
2012,SOS,LCZ D,66
2012,SOS,LCZ D,66
2012,SOS,LCZ D,66
2012,SOS,LCZ D,66
2012,SOS,LCZ D,26
2012,SOS,LCZ F,26
2012,SOS,LCZ D,52
2012,SOS,LCZ D,52
2012,SOS,LCZ D,69
2012,SOS,LCZ D,71
2012,SOS,LCZ D,71
2012,SOS,LCZ D,94
2012,SOS,LCZ D,94
2012,SOS,LCZ D,94
2012,SOS,LCZ D,86
2012,SOS,LCZ D,81
2012,SOS,LCZ D,81
2012,SOS,LCZ D,75
2012,SOS,LCZ D,21
2012,SOS,LCZ D,21
2012,SOS,LCZ D,362
2012,SOS,LCZ D,362
2012,SOS,LCZ A,40
2012,SOS,LCZ A,40
2012,SOS,LCZ D,4
2012,SOS,LCZ D,15
2012,SOS,LCZ 9,15
2012,SOS,LCZ 9,11
2012,SOS,LCZ B,327
2012,SOS,LCZ B,327
2012,SOS,LCZ A,327
2012,SOS,LCZ A,325
2012,SOS,LCZ A,325
2012,SOS,LCZ A,26
2012,SOS,LCZ D,26
2012,SOS,LCZ A,29
2012,SOS,LCZ A,33
2012,SOS,LCZ A,33
2012,SOS,LCZ A,186
2012,SOS,LCZ D,23
2012,SOS,LCZ D,23
2012,SOS,LCZ D,201
2012,SOS,LCZ D,201
2012,SOS,LCZ D,201
2012,SOS,LCZ F,306
2012,SOS,LCZ F,306
2012,SOS,LCZ D,354
2012,SOS,LCZ 4,354
2012,SOS,LCZ D,356
2012,SOS,LCZ D,356
2012,SOS,LCZ D,12
2012,SOS,LCZ D,20
2012,SOS,LCZ D,20
2012,SOS,LCZ D,29
2012,SOS,LCZ D,21
2012,SOS,LCZ D,21
2012,SOS,LCZ D,4
2012,SOS,LCZ D,4
2012,SOS,LCZ D,359
2012,SOS,LCZ D,15
2012,SOS,LCZ D,15
2012,SOS,LCZ D,15
2012,SOS,LCZ D,22
2012,SOS,LCZ D,17
2012,SOS,LCZ D,17
2012,SOS,LCZ D,9
2012,SOS,LCZ D,9
2012,SOS,LCZ D,7
2012,SOS,LCZ D,0
2012,SOS,LCZ D,0
2012,SOS,LCZ D,357
2012,SOS,LCZ 9,360
2012,SOS,LCZ 9,360
2012,SOS,LCZ D,362
2012,SOS,LCZ D,362
2012,SOS,LCZ D,362
2012,SOS,LCZ D,4
2012,SOS,LCZ D,357
2012,SOS,LCZ D,357
2012,SOS,LCZ D,346
2012,SOS,LCZ D,354
2012,SOS,LCZ D,354
2012,SOS,LCZ D,337
2012,SOS,LCZ D,337
2012,SOS,LCZ D,340
2012,SOS,LCZ D,338
2012,SOS,LCZ D,338
2012,SOS,LCZ D,3
2012,SOS,LCZ D,66
2012,SOS,LCZ D,66
2012,SOS,LCZ D,66
2012,SOS,LCZ D,66
2012,SOS,LCZ D,66
2012,SOS,LCZ D,66
2012,SOS,LCZ D,26
2012,SOS,LCZ D,26
2012,SOS,LCZ D,52
2012,SOS,LCZ D,52
2012,SOS,LCZ D,69
2012,SOS,LCZ D,71
2012,SOS,LCZ D,71
2012,SOS,LCZ D,94
2012,SOS,LCZ D,94
2012,SOS,LCZ D,94
2012,SOS,LCZ D,86
2012,SOS,LCZ D,81
2012,SOS,LCZ D,81
2012,SOS,LCZ D,75
2012,SOS,LCZ D,21
2012,SOS,LCZ D,21
2012,SOS,LCZ D,362
2012,SOS,LCZ D,362
2012,SOS,LCZ A,36
2012,SOS,LCZ A,10
2012,SOS,LCZ 4,10
2012,SOS,LCZ 6,353
2012,SOS,LCZ D,353
2012,SOS,LCZ D,351
2012,SOS,LCZ D,17
2012,SOS,LCZ D,17
2012,SOS,LCZ D,23
2012,SOS,LCZ D,11
2012,SOS,LCZ D,11
2012,SOS,LCZ D,364
2012,SOS,LCZ D,364
2012,SOS,LCZ D,364
2012,SOS,LCZ A,16
2012,SOS,LCZ B,16
2012,SOS,LCZ D,16
2012,SOS,LCZ D,12
2012,SOS,LCZ D,13
2012,SOS,LCZ D,13
2012,SOS,LCZ D,10
2012,SOS,LCZ D,10
2012,SOS,LCZ D,2
2012,SOS,LCZ D,360
2012,SOS,LCZ D,360
2012,SOS,LCZ D,348
2012,SOS,LCZ 9,357
2012,SOS,LCZ 9,357
2012,SOS,LCZ D,356
