Year,Parameter,LCZs,date
2010,LOS,LCZ F,72
2010,LOS,LCZ 1,76
2010,LOS,LCZ 1,76
2010,LOS,LCZ 5,78
2010,LOS,LCZ 6,78
2010,LOS,LCZ 7,78
2010,LOS,LCZ D,78
2010,LOS,LCZ G,78
2010,LOS,LCZ 3,79
2010,LOS,LCZ 5,79
2010,LOS,LCZ 6,79
2010,LOS,LCZ 9,79
2010,LOS,LCZ C,80
2010,LOS,LCZ D,80
2010,LOS,LCZ D,80
2010,LOS,LCZ D,80
2010,LOS,LCZ D,80
2010,LOS,LCZ D,80
2010,LOS,LCZ D,80
2010,LOS,LCZ D,80
2010,LOS,LCZ D,80
2010,LOS,LCZ D,80
2010,LOS,LCZ E,80
2010,LOS,LCZ E,80
2010,LOS,LCZ D,81
2010,LOS,LCZ D,81
2010,LOS,LCZ D,81
2010,LOS,LCZ D,81
2010,LOS,LCZ A,82
2010,LOS,LCZ D,82
2010,LOS,LCZ D,82
2010,LOS,LCZ D,82
2010,LOS,LCZ D,82
2010,LOS,LCZ D,82
2010,LOS,LCZ A,83
2010,LOS,LCZ A,83
2010,LOS,LCZ A,83
2010,LOS,LCZ A,83
2010,LOS,LCZ A,83
2010,LOS,LCZ C,83
2010,LOS,LCZ C,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ D,83
2010,LOS,LCZ 5,84
2010,LOS,LCZ C,84
2010,LOS,LCZ C,84
2010,LOS,LCZ C,84
2010,LOS,LCZ C,84
2010,LOS,LCZ C,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ D,84
2010,LOS,LCZ E,84
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ D,85
2010,LOS,LCZ C,86
2010,LOS,LCZ C,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ D,86
2010,LOS,LCZ 5,87
2010,LOS,LCZ 5,87
2010,LOS,LCZ 6,87
2010,LOS,LCZ 6,87
2010,LOS,LCZ A,87
2010,LOS,LCZ A,87
2010,LOS,LCZ A,87
2010,LOS,LCZ C,87
2010,LOS,LCZ C,87
2010,LOS,LCZ C,87
2010,LOS,LCZ C,87
2010,LOS,LCZ C,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ D,87
2010,LOS,LCZ 4,88
2010,LOS,LCZ 4,88
2010,LOS,LCZ 5,88
2010,LOS,LCZ 5,88
2010,LOS,LCZ 8,88
2010,LOS,LCZ 9,88
2010,LOS,LCZ A,88
2010,LOS,LCZ A,88
2010,LOS,LCZ C,88
2010,LOS,LCZ C,88
2010,LOS,LCZ C,88
2010,LOS,LCZ C,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
2010,LOS,LCZ D,88
