OID_,Value,Count,,102
1,102,1,,103
2,103,1,,104
3,104,1,,105
4,105,1,,106
5,106,1,,107
6,107,2,,107
8,108,3,,108
11,109,1,,108
12,110,2,,108
14,111,4,,109
18,112,1,,110
19,113,1,,110
20,114,1,,111
21,115,2,,111
23,116,1,,111
24,118,1,,111
25,119,1,,112
26,120,1,,113
27,121,3,,114
30,123,3,,115
33,124,3,,115
36,125,2,,116
38,127,3,,118
41,128,1,,119
42,130,7,,120
49,133,3,,121
52,134,1,,121
53,135,2,,121
55,136,4,,123
59,137,1,,123
60,139,1,,123
61,140,3,,124
64,142,1,,124
65,144,1,,124
66,149,2,,125
68,150,2,,125
70,151,1,,127
71,152,1,,127
72,153,4,,127
76,154,3,,128
79,155,1,,130
80,156,5,,130
85,157,1,,130
86,159,3,,130
89,160,4,,130
93,161,2,,130
95,162,1,,130
96,163,2,,133
98,164,5,,133
103,165,3,,133
106,166,2,,134
108,167,2,,135
110,168,1,,135
111,169,2,,136
113,170,2,,136
115,171,2,,136
117,172,2,,136
119,173,1,,137
120,174,1,,139
121,175,3,,140
124,176,3,,140
127,177,1,,140
128,178,1,,142
129,179,2,,144
131,180,1,,149
132,183,1,,149
133,186,1,,150
134,187,1,,150
135,188,2,,151
137,193,1,,152
138,198,2,,153
140,202,1,,153
141,203,1,,153
142,204,1,,153
143,205,1,,154
144,206,1,,154
145,207,1,,154
146,208,1,,155
147,209,1,,156
148,211,3,,156
151,212,1,,156
152,213,5,,156
157,214,4,,156
161,215,6,,157
167,216,4,,159
171,217,3,,159
174,218,3,,159
177,219,2,,160
179,220,2,,160
181,221,1,,160
182,222,1,,160
183,223,1,,161
184,224,2,,161
186,225,2,,162
188,226,2,,163
190,227,1,,163
191,228,2,,164
193,229,1,,164
194,230,2,,164
196,231,3,,164
199,232,2,,164
201,233,2,,165
203,234,1,,165
204,235,2,,165
206,236,1,,166
207,237,1,,166
208,240,2,,167
210,243,2,,167
212,244,1,,168
213,246,1,,169
214,249,1,,169
215,250,3,,170
218,252,1,,170
219,257,2,,171
221,259,3,,171
224,260,1,,172
225,262,1,,172
226,264,2,,173
228,265,2,,174
230,266,1,,175
231,267,3,,175
234,268,3,,175
237,269,5,,176
242,270,1,,176
243,271,1,,176
244,272,1,,177
245,273,2,,178
247,275,2,,179
249,276,7,,179
256,277,2,,180
258,278,5,,183
263,279,7,,186
270,280,1,,187
271,281,1,,188
272,282,2,,188
274,283,1,,193
275,284,1,,198
276,286,1,,198
277,292,1,,202
278,296,1,,203
279,300,1,,204
280,301,1,,205
281,302,3,,206
284,303,1,,207
285,304,1,,208
286,306,2,,209
288,307,2,,211
290,308,4,,211
294,310,4,,211
298,311,4,,212
302,312,5,,213
307,313,7,,213
314,314,5,,213
319,315,8,,213
327,316,9,,213
336,317,10,,214
346,318,5,,214
351,319,5,,214
356,320,6,,214
362,321,9,,215
371,322,5,,215
376,323,3,,215
379,324,6,,215
385,325,6,,215
391,326,3,,215
394,327,4,,216
398,328,7,,216
405,329,5,,216
410,330,4,,216
414,331,2,,217
416,332,4,,217
420,333,3,,217
423,334,1,,218
424,335,2,,218
426,336,4,,218
430,337,4,,219
434,338,4,,219
438,339,3,,220
441,340,3,,220
444,341,3,,221
447,342,5,,222
452,343,3,,223
455,344,5,,224
460,345,4,,224
464,346,3,,225
467,347,10,,225
477,348,9,,226
486,349,14,,226
500,350,11,,227
511,351,13,,228
524,352,7,,228
531,353,11,,229
542,354,11,,230
553,355,11,,230
564,356,3,,231
567,357,7,,231
574,358,5,,231
579,359,4,,232
583,360,6,,232
589,361,3,,233
592,362,6,,233
598,364,3,,234
601,366,1,,235
,,,,235
,,,,236
,,,,237
,,,,240
,,,,240
,,,,243
,,,,243
,,,,244
,,,,246
,,,,249
,,,,250
,,,,250
,,,,250
,,,,252
,,,,257
,,,,257
,,,,259
,,,,259
,,,,259
,,,,260
,,,,262
,,,,264
,,,,264
,,,,265
,,,,265
,,,,266
,,,,267
,,,,267
,,,,267
,,,,268
,,,,268
,,,,268
,,,,269
,,,,269
,,,,269
,,,,269
,,,,269
,,,,270
,,,,271
,,,,272
