Year,Parameter,Distance,date
2012,EOS,2000,214
2012,EOS,2000,215
2012,EOS,2000,250
2012,EOS,2000,307
2012,EOS,2000,311
2012,EOS,2000,311
2012,EOS,2000,312
2012,EOS,2000,312
2012,EOS,2000,312
2012,EOS,2000,313
2012,EOS,2000,313
2012,EOS,2000,314
2012,EOS,2000,314
2012,EOS,2000,315
2012,EOS,2000,315
2012,EOS,2000,316
2012,EOS,2000,316
2012,EOS,2000,316
2012,EOS,2000,317
2012,EOS,2000,317
2012,EOS,2000,318
2012,EOS,2000,318
2012,EOS,2000,319
2012,EOS,2000,319
2012,EOS,2000,319
2012,EOS,2000,319
2012,EOS,2000,320
2012,EOS,2000,320
2012,EOS,2000,320
2012,EOS,2000,321
2012,EOS,2000,322
2012,EOS,2000,323
2012,EOS,2000,323
2012,EOS,2000,323
2012,EOS,2000,323
2012,EOS,2000,324
2012,EOS,2000,325
2012,EOS,2000,326
2012,EOS,2000,327
2012,EOS,2000,327
2012,EOS,2000,328
2012,EOS,2000,329
2012,EOS,2000,332
2012,EOS,2000,332
2012,EOS,2000,332
2012,EOS,2000,333
2012,EOS,2000,333
2012,EOS,2000,333
2012,EOS,2000,334
2012,EOS,2000,335
2012,EOS,2000,338
2012,EOS,2000,354
2012,EOS,4000,214
2012,EOS,4000,228
2012,EOS,4000,274
2012,EOS,4000,286
2012,EOS,4000,293
2012,EOS,4000,302
2012,EOS,4000,303
2012,EOS,4000,303
2012,EOS,4000,306
2012,EOS,4000,307
2012,EOS,4000,307
2012,EOS,4000,309
2012,EOS,4000,309
2012,EOS,4000,310
2012,EOS,4000,310
2012,EOS,4000,311
2012,EOS,4000,312
2012,EOS,4000,312
2012,EOS,4000,312
2012,EOS,4000,312
2012,EOS,4000,312
2012,EOS,4000,313
2012,EOS,4000,313
2012,EOS,4000,313
2012,EOS,4000,313
2012,EOS,4000,313
2012,EOS,4000,314
2012,EOS,4000,314
2012,EOS,4000,315
2012,EOS,4000,315
2012,EOS,4000,315
2012,EOS,4000,315
2012,EOS,4000,315
2012,EOS,4000,315
2012,EOS,4000,316
2012,EOS,4000,316
2012,EOS,4000,316
2012,EOS,4000,316
2012,EOS,4000,316
2012,EOS,4000,316
2012,EOS,4000,317
2012,EOS,4000,318
2012,EOS,4000,318
2012,EOS,4000,319
2012,EOS,4000,319
2012,EOS,4000,319
2012,EOS,4000,320
2012,EOS,4000,320
2012,EOS,4000,320
2012,EOS,4000,320
2012,EOS,4000,320
2012,EOS,4000,321
2012,EOS,4000,321
2012,EOS,4000,321
2012,EOS,4000,322
2012,EOS,4000,322
2012,EOS,4000,322
2012,EOS,4000,322
2012,EOS,4000,322
2012,EOS,4000,322
2012,EOS,4000,322
2012,EOS,4000,323
2012,EOS,4000,323
2012,EOS,4000,323
2012,EOS,4000,324
2012,EOS,4000,324
2012,EOS,4000,325
2012,EOS,4000,325
2012,EOS,4000,325
2012,EOS,4000,325
2012,EOS,4000,325
2012,EOS,4000,326
2012,EOS,4000,328
2012,EOS,4000,328
2012,EOS,4000,328
2012,EOS,4000,329
2012,EOS,4000,331
2012,EOS,4000,332
2012,EOS,4000,334
2012,EOS,4000,334
2012,EOS,4000,334
2012,EOS,4000,334
2012,EOS,4000,335
2012,EOS,4000,335
2012,EOS,4000,335
2012,EOS,4000,337
2012,EOS,4000,338
2012,EOS,4000,339
2012,EOS,4000,340
2012,EOS,4000,342
2012,EOS,4000,342
2012,EOS,4000,342
2012,EOS,4000,343
2012,EOS,4000,343
2012,EOS,4000,345
2012,EOS,4000,345
2012,EOS,4000,345
2012,EOS,4000,345
2012,EOS,4000,347
2012,EOS,4000,352
2012,EOS,6000,228
2012,EOS,6000,252
2012,EOS,6000,259
2012,EOS,6000,265
2012,EOS,6000,289
2012,EOS,6000,295
2012,EOS,6000,298
2012,EOS,6000,301
2012,EOS,6000,303
2012,EOS,6000,303
2012,EOS,6000,303
2012,EOS,6000,303
2012,EOS,6000,304
2012,EOS,6000,304
2012,EOS,6000,306
2012,EOS,6000,306
2012,EOS,6000,307
2012,EOS,6000,307
2012,EOS,6000,307
2012,EOS,6000,307
2012,EOS,6000,307
2012,EOS,6000,308
2012,EOS,6000,308
2012,EOS,6000,308
2012,EOS,6000,308
2012,EOS,6000,309
2012,EOS,6000,309
2012,EOS,6000,310
2012,EOS,6000,310
2012,EOS,6000,311
2012,EOS,6000,311
2012,EOS,6000,311
2012,EOS,6000,311
2012,EOS,6000,311
2012,EOS,6000,311
2012,EOS,6000,312
2012,EOS,6000,312
2012,EOS,6000,313
2012,EOS,6000,314
2012,EOS,6000,314
2012,EOS,6000,314
2012,EOS,6000,314
2012,EOS,6000,314
2012,EOS,6000,315
2012,EOS,6000,315
2012,EOS,6000,315
2012,EOS,6000,315
2012,EOS,6000,315
2012,EOS,6000,316
2012,EOS,6000,316
2012,EOS,6000,316
2012,EOS,6000,317
2012,EOS,6000,317
2012,EOS,6000,317
2012,EOS,6000,317
2012,EOS,6000,317
2012,EOS,6000,317
2012,EOS,6000,318
2012,EOS,6000,318
2012,EOS,6000,319
2012,EOS,6000,319
2012,EOS,6000,319
2012,EOS,6000,319
2012,EOS,6000,319
2012,EOS,6000,320
2012,EOS,6000,320
2012,EOS,6000,321
2012,EOS,6000,321
2012,EOS,6000,321
2012,EOS,6000,321
2012,EOS,6000,321
2012,EOS,6000,321
2012,EOS,6000,322
2012,EOS,6000,322
2012,EOS,6000,322
2012,EOS,6000,322
2012,EOS,6000,322
2012,EOS,6000,322
2012,EOS,6000,322
2012,EOS,6000,322
2012,EOS,6000,322
2012,EOS,6000,323
2012,EOS,6000,323
2012,EOS,6000,323
2012,EOS,6000,323
2012,EOS,6000,324
2012,EOS,6000,324
2012,EOS,6000,324
2012,EOS,6000,324
2012,EOS,6000,325
2012,EOS,6000,325
2012,EOS,6000,325
2012,EOS,6000,325
2012,EOS,6000,325
2012,EOS,6000,325
2012,EOS,6000,326
2012,EOS,6000,326
2012,EOS,6000,326
2012,EOS,6000,327
2012,EOS,6000,327
2012,EOS,6000,327
2012,EOS,6000,327
2012,EOS,6000,327
2012,EOS,6000,327
2012,EOS,6000,328
2012,EOS,6000,328
2012,EOS,6000,328
2012,EOS,6000,328
2012,EOS,6000,328
2012,EOS,6000,328
2012,EOS,6000,328
2012,EOS,6000,328
2012,EOS,6000,329
2012,EOS,6000,329
2012,EOS,6000,329
2012,EOS,6000,329
2012,EOS,6000,329
2012,EOS,6000,329
2012,EOS,6000,329
2012,EOS,6000,330
2012,EOS,6000,330
2012,EOS,6000,331
2012,EOS,6000,331
2012,EOS,6000,332
2012,EOS,6000,332
2012,EOS,6000,332
2012,EOS,6000,333
2012,EOS,6000,333
2012,EOS,6000,333
2012,EOS,6000,333
2012,EOS,6000,334
2012,EOS,6000,334
2012,EOS,6000,334
2012,EOS,6000,335
2012,EOS,6000,335
2012,EOS,6000,335
2012,EOS,6000,336
2012,EOS,6000,336
2012,EOS,6000,337
2012,EOS,6000,337
2012,EOS,6000,338
2012,EOS,6000,338
2012,EOS,6000,338
2012,EOS,6000,338
2012,EOS,6000,339
2012,EOS,6000,339
2012,EOS,6000,340
2012,EOS,6000,340
2012,EOS,6000,340
2012,EOS,6000,340
2012,EOS,6000,342
2012,EOS,6000,342
2012,EOS,6000,342
2012,EOS,6000,342
2012,EOS,6000,342
2012,EOS,6000,343
2012,EOS,6000,343
2012,EOS,6000,344
2012,EOS,6000,344
2012,EOS,6000,344
2012,EOS,6000,344
2012,EOS,6000,344
2012,EOS,6000,345
2012,EOS,6000,345
2012,EOS,6000,345
2012,EOS,6000,345
2012,EOS,6000,345
2012,EOS,6000,345
2012,EOS,6000,346
2012,EOS,6000,346
