Year,Parameter,Distance,date
2017,LOS,2000,268
2017,LOS,2000,272
2017,LOS,2000,274
2017,LOS,2000,275
2017,LOS,2000,276
2017,LOS,2000,277
2017,LOS,2000,279
2017,LOS,2000,279
2017,LOS,2000,279
2017,LOS,2000,279
2017,LOS,2000,279
2017,LOS,2000,280
2017,LOS,2000,280
2017,LOS,2000,282
2017,LOS,2000,282
2017,LOS,2000,283
2017,LOS,2000,283
2017,LOS,2000,284
2017,LOS,2000,284
2017,LOS,2000,285
2017,LOS,2000,286
2017,LOS,2000,286
2017,LOS,2000,287
2017,LOS,2000,289
2017,LOS,2000,290
2017,LOS,2000,290
2017,LOS,2000,290
2017,LOS,2000,291
2017,LOS,2000,292
2017,LOS,2000,299
2017,LOS,2000,302
2017,LOS,2000,303
2017,LOS,2000,314
2017,LOS,4000,147
2017,LOS,4000,150
2017,LOS,4000,219
2017,LOS,4000,231
2017,LOS,4000,233
2017,LOS,4000,235
2017,LOS,4000,237
2017,LOS,4000,237
2017,LOS,4000,238
2017,LOS,4000,239
2017,LOS,4000,240
2017,LOS,4000,240
2017,LOS,4000,240
2017,LOS,4000,242
2017,LOS,4000,243
2017,LOS,4000,243
2017,LOS,4000,247
2017,LOS,4000,247
2017,LOS,4000,249
2017,LOS,4000,252
2017,LOS,4000,253
2017,LOS,4000,255
2017,LOS,4000,257
2017,LOS,4000,257
2017,LOS,4000,258
2017,LOS,4000,260
2017,LOS,4000,260
2017,LOS,4000,261
2017,LOS,4000,261
2017,LOS,4000,261
2017,LOS,4000,264
2017,LOS,4000,266
2017,LOS,4000,266
2017,LOS,4000,268
2017,LOS,4000,269
2017,LOS,4000,270
2017,LOS,4000,270
2017,LOS,4000,271
2017,LOS,4000,271
2017,LOS,4000,271
2017,LOS,4000,272
2017,LOS,4000,274
2017,LOS,4000,274
2017,LOS,4000,275
2017,LOS,4000,275
2017,LOS,4000,276
2017,LOS,4000,277
2017,LOS,4000,277
2017,LOS,4000,277
2017,LOS,4000,277
2017,LOS,4000,277
2017,LOS,4000,277
2017,LOS,4000,278
2017,LOS,4000,278
2017,LOS,4000,278
2017,LOS,4000,278
2017,LOS,4000,279
2017,LOS,4000,279
2017,LOS,4000,280
2017,LOS,4000,280
2017,LOS,4000,282
2017,LOS,4000,282
2017,LOS,4000,283
2017,LOS,4000,284
2017,LOS,4000,284
2017,LOS,4000,284
2017,LOS,4000,285
2017,LOS,4000,285
2017,LOS,4000,285
2017,LOS,4000,286
2017,LOS,4000,286
2017,LOS,4000,287
2017,LOS,4000,287
2017,LOS,4000,288
2017,LOS,4000,290
2017,LOS,4000,291
2017,LOS,4000,291
2017,LOS,4000,292
2017,LOS,4000,293
2017,LOS,4000,295
2017,LOS,4000,300
2017,LOS,4000,302
2017,LOS,4000,303
2017,LOS,4000,305
2017,LOS,4000,305
2017,LOS,4000,316
2017,LOS,6000,146
2017,LOS,6000,153
2017,LOS,6000,218
2017,LOS,6000,225
2017,LOS,6000,225
2017,LOS,6000,226
2017,LOS,6000,226
2017,LOS,6000,231
2017,LOS,6000,232
2017,LOS,6000,234
2017,LOS,6000,237
2017,LOS,6000,239
2017,LOS,6000,240
2017,LOS,6000,241
2017,LOS,6000,241
2017,LOS,6000,241
2017,LOS,6000,241
2017,LOS,6000,242
2017,LOS,6000,242
2017,LOS,6000,244
2017,LOS,6000,244
2017,LOS,6000,246
2017,LOS,6000,247
2017,LOS,6000,247
2017,LOS,6000,247
2017,LOS,6000,248
2017,LOS,6000,248
2017,LOS,6000,248
2017,LOS,6000,248
2017,LOS,6000,249
2017,LOS,6000,249
2017,LOS,6000,249
2017,LOS,6000,250
2017,LOS,6000,250
2017,LOS,6000,251
2017,LOS,6000,251
2017,LOS,6000,252
2017,LOS,6000,252
2017,LOS,6000,253
2017,LOS,6000,253
2017,LOS,6000,255
2017,LOS,6000,256
2017,LOS,6000,256
2017,LOS,6000,256
2017,LOS,6000,256
2017,LOS,6000,256
2017,LOS,6000,256
2017,LOS,6000,256
2017,LOS,6000,257
2017,LOS,6000,258
2017,LOS,6000,258
2017,LOS,6000,258
2017,LOS,6000,258
2017,LOS,6000,258
2017,LOS,6000,258
2017,LOS,6000,258
2017,LOS,6000,258
2017,LOS,6000,258
2017,LOS,6000,258
2017,LOS,6000,259
2017,LOS,6000,259
2017,LOS,6000,259
2017,LOS,6000,259
2017,LOS,6000,259
2017,LOS,6000,260
2017,LOS,6000,260
2017,LOS,6000,260
2017,LOS,6000,260
2017,LOS,6000,262
2017,LOS,6000,262
2017,LOS,6000,263
2017,LOS,6000,264
2017,LOS,6000,264
2017,LOS,6000,264
2017,LOS,6000,265
2017,LOS,6000,265
2017,LOS,6000,265
2017,LOS,6000,266
2017,LOS,6000,266
2017,LOS,6000,266
2017,LOS,6000,266
2017,LOS,6000,267
2017,LOS,6000,267
2017,LOS,6000,267
2017,LOS,6000,267
2017,LOS,6000,268
2017,LOS,6000,269
2017,LOS,6000,270
2017,LOS,6000,270
2017,LOS,6000,270
2017,LOS,6000,270
2017,LOS,6000,270
2017,LOS,6000,271
2017,LOS,6000,271
2017,LOS,6000,272
2017,LOS,6000,272
2017,LOS,6000,273
2017,LOS,6000,273
2017,LOS,6000,273
2017,LOS,6000,273
2017,LOS,6000,273
2017,LOS,6000,273
2017,LOS,6000,273
2017,LOS,6000,274
2017,LOS,6000,274
2017,LOS,6000,274
2017,LOS,6000,274
2017,LOS,6000,275
2017,LOS,6000,275
2017,LOS,6000,275
2017,LOS,6000,275
2017,LOS,6000,276
2017,LOS,6000,276
2017,LOS,6000,277
2017,LOS,6000,277
2017,LOS,6000,277
2017,LOS,6000,277
2017,LOS,6000,277
2017,LOS,6000,277
2017,LOS,6000,277
2017,LOS,6000,278
2017,LOS,6000,279
2017,LOS,6000,279
2017,LOS,6000,279
2017,LOS,6000,280
2017,LOS,6000,281
2017,LOS,6000,281
2017,LOS,6000,281
2017,LOS,6000,281
2017,LOS,6000,281
2017,LOS,6000,282
2017,LOS,6000,282
2017,LOS,6000,283
2017,LOS,6000,283
2017,LOS,6000,283
2017,LOS,6000,283
2017,LOS,6000,283
2017,LOS,6000,284
2017,LOS,6000,284
2017,LOS,6000,284
2017,LOS,6000,285
2017,LOS,6000,285
2017,LOS,6000,286
2017,LOS,6000,287
2017,LOS,6000,287
2017,LOS,6000,288
2017,LOS,6000,288
2017,LOS,6000,288
2017,LOS,6000,288
2017,LOS,6000,289
2017,LOS,6000,290
2017,LOS,6000,290
2017,LOS,6000,291
2017,LOS,6000,291
2017,LOS,6000,292
2017,LOS,6000,293
2017,LOS,6000,294
2017,LOS,6000,294
2017,LOS,6000,295
2017,LOS,6000,295
2017,LOS,6000,296
2017,LOS,6000,297
2017,LOS,6000,297
2017,LOS,6000,300
2017,LOS,6000,301
2017,LOS,6000,304
2017,LOS,6000,304
2017,LOS,6000,305
2017,LOS,6000,306
2017,LOS,6000,307
2017,LOS,6000,309
2017,LOS,6000,309
2017,LOS,6000,315
2017,LOS,6000,322
2017,LOS,6000,322
2017,LOS,6000,324
2017,LOS,8000,88
2017,LOS,8000,151
2017,LOS,8000,154
2017,LOS,8000,154
2017,LOS,8000,155
2017,LOS,8000,163
2017,LOS,8000,170
2017,LOS,8000,216
2017,LOS,8000,217
2017,LOS,8000,218
2017,LOS,8000,223
2017,LOS,8000,226
2017,LOS,8000,231
2017,LOS,8000,231
2017,LOS,8000,232
2017,LOS,8000,233
2017,LOS,8000,233
2017,LOS,8000,234
2017,LOS,8000,234
2017,LOS,8000,234
2017,LOS,8000,234
2017,LOS,8000,236
2017,LOS,8000,237
2017,LOS,8000,237
2017,LOS,8000,238
2017,LOS,8000,238
2017,LOS,8000,240
2017,LOS,8000,240
2017,LOS,8000,240
2017,LOS,8000,241
2017,LOS,8000,242
2017,LOS,8000,242
2017,LOS,8000,243
2017,LOS,8000,243
2017,LOS,8000,245
2017,LOS,8000,245
2017,LOS,8000,246
2017,LOS,8000,246
2017,LOS,8000,247
2017,LOS,8000,247
2017,LOS,8000,247
2017,LOS,8000,247
2017,LOS,8000,248
2017,LOS,8000,248
2017,LOS,8000,249
2017,LOS,8000,250
2017,LOS,8000,250
2017,LOS,8000,250
2017,LOS,8000,251
2017,LOS,8000,251
2017,LOS,8000,252
2017,LOS,8000,252
2017,LOS,8000,253
2017,LOS,8000,253
2017,LOS,8000,253
2017,LOS,8000,253
