OID_,Value,Count,
,94,1,94
,99,1,99
,187,1,187
,189,1,189
,197,1,197
,204,2,204
,211,1,204
,212,1,211
,215,2,212
,218,2,215
,219,1,215
,224,1,218
,229,3,218
,230,1,219
,233,2,224
,234,2,229
,236,1,229
,237,1,229
,238,2,230
,239,2,233
,240,2,233
,241,2,234
,243,1,234
,244,1,236
,245,3,237
,247,5,238
,250,1,238
,255,1,239
,256,1,239
,260,1,240
,262,2,240
,263,2,241
,265,2,241
,269,1,243
,272,1,244
,,,245
,,,245
,,,245
,,,247
,,,247
,,,247
,,,247
,,,247
,,,250
,,,255
,,,256
,,,260
,,,262
,,,262
,,,263
,,,263
,,,265
,,,265
,,,269
,,,272
