OID_,VALUE,COUNT,
,135,1,135
,140,1,140
,150,1,150
,152,2,152
,156,1,152
,159,1,156
,161,1,159
,163,1,161
,168,1,163
,177,1,168
,179,1,177
,185,1,179
,186,1,185
,187,2,186
,191,1,187
,193,2,187
,194,4,191
,195,1,193
,197,1,193
,199,1,194
,201,2,194
,202,1,194
,204,1,194
,206,1,195
,207,1,197
,209,1,199
,210,1,201
,214,1,201
,215,1,202
,216,1,204
,217,1,206
,221,3,207
,222,1,209
,226,1,210
,227,1,214
,228,3,215
,229,1,216
,230,4,217
,231,1,221
,232,2,221
,233,3,221
,234,2,222
,235,3,226
,236,1,227
,237,1,228
,238,3,228
,239,4,228
,240,2,229
,241,3,230
,242,3,230
,244,2,230
,245,1,230
,246,3,231
,247,1,232
,248,4,232
,249,1,233
,250,3,233
,251,3,233
,252,2,234
,253,1,234
,254,1,235
,256,3,235
,258,1,235
,262,1,236
,263,2,237
,270,1,238
,278,1,238
,,,238
,,,239
,,,239
,,,239
,,,239
,,,240
,,,240
,,,241
,,,241
,,,241
,,,242
,,,242
,,,242
,,,244
,,,244
,,,245
,,,246
,,,246
,,,246
,,,247
,,,248
,,,248
,,,248
,,,248
,,,249
,,,250
,,,250
,,,250
,,,251
,,,251
,,,251
,,,252
,,,252
,,,253
,,,254
,,,256
,,,256
,,,256
,,,258
,,,262
,,,270
,,,278
,,,263
,,,263
