OID_,Value,Count,,135,,,135
1,135,1,,145,,,145
2,145,1,,148,,,148
3,148,1,,158,,,158
4,158,1,,163,,,163
5,163,1,,166,,,166
6,166,1,,169,,,169
7,169,1,,175,,,175
8,175,2,,175,,,175
10,178,1,,178,,,178
11,179,1,,179,,,179
12,180,1,,180,,,180
13,182,1,,182,,,182
14,183,2,,183,,,183
16,186,4,,183,,,183
20,188,3,,186,,,186
23,189,3,,186,,,186
26,190,4,,186,,,186
30,191,5,,186,,,186
35,192,7,,188,,,188
42,193,4,,188,,,188
46,194,4,,188,,,188
50,195,3,,189,,,189
53,196,8,,189,,,189
61,197,2,,189,,,189
63,198,3,,190,,,190
66,199,6,,190,,,190
72,200,4,,190,,,190
76,201,7,,190,,,190
83,202,4,,191,,,191
87,203,8,,191,,,191
95,204,2,,191,,,191
97,205,5,,191,,,191
102,206,1,,191,,,191
103,207,4,,192,,,192
107,208,5,,192,,,192
112,209,7,,192,,,192
119,210,4,,192,,,192
123,211,1,,192,,,192
124,212,4,,192,,,192
128,213,2,,192,,,192
130,215,4,,193,,,193
134,216,2,,193,,,193
136,217,5,,193,,,193
141,219,1,,193,,,193
142,220,1,,194,,,194
143,221,1,,194,,,194
144,224,1,,194,,,194
145,225,1,,194,,,194
146,227,1,,195,,,195
147,229,1,,195,,,195
148,230,1,,195,,,195
149,231,1,,196,,,196
150,232,1,,196,,,196
151,233,3,,196,,,196
154,234,1,,196,,,196
155,237,3,,196,,,196
158,238,3,,196,,,196
161,239,3,,196,,,196
164,240,1,,196,,,196
165,241,2,,197,,,197
167,242,3,,197,,,197
170,243,1,,198,,,198
171,244,3,,198,,,198
174,245,9,,198,,,198
183,246,4,,199,,,199
187,247,4,,199,,,199
191,248,4,,199,,,199
195,249,3,,199,,,199
198,250,4,,199,,,199
202,251,3,,199,,,199
205,252,4,,200,,,200
209,253,4,,200,,,200
213,254,5,,200,,,200
218,255,3,,200,,,200
221,256,3,,201,,,201
224,257,5,,201,,,201
229,258,4,,201,,,201
233,259,5,,201,,,201
238,260,7,,201,,,201
245,261,4,,201,,,201
249,262,2,,201,,,201
251,263,6,,202,,,202
257,264,4,,202,,,202
261,265,6,,202,,,202
267,266,5,,202,,,202
272,267,3,,203,,,203
275,268,2,,203,,,203
277,269,4,,203,,,203
281,270,2,,203,,,203
283,271,2,,203,,,203
285,272,4,,203,,,203
289,273,2,,203,,,203
291,274,1,,203,,,203
292,275,5,,204,,,204
297,276,4,,204,,,204
301,277,3,,205,,,205
304,278,2,,205,,,205
306,279,1,,205,,,205
307,280,1,,205,,,205
308,281,3,,205,,,205
311,282,1,,206,,,206
312,283,1,,207,,,207
313,285,4,,207,,,207
317,286,5,,207,,,207
322,287,2,,207,,,207
324,288,1,,208,,,208
325,289,1,,208,,,208
326,291,1,,208,,,208
327,292,1,,208,,,208
328,293,1,,208,,,208
329,296,1,,209,,,209
,,,,209,,,209
,,,,209,,,209
,,,,209,,,209
,,,,209,,,209
,,,,209,,,209
,,,,209,,,209
,,,,210,,,210
,,,,210,,,210
,,,,210,,,210
,,,,210,,,210
,,,,211,,,211
,,,,212,,,212
,,,,212,,,212
,,,,212,,,212
,,,,212,,,212
,,,,213,,,213
,,,,213,,,213
,,,,215,,,215
,,,,215,,,215
,,,,215,,,215
,,,,215,,,215
,,,,216,,,216
,,,,216,,,216
,,,,217,,,217
,,,,217,,,217
,,,,217,,,217
,,,,217,,,217
,,,,217,,,217
,,,,219,,,219
,,,,220,,,220
,,,,221,,,221
,,,,224,,,224
,,,,225,,,225
,,,,227,,,227
,,,,229,,,229
,,,,230,,,230
,,,,231,,,231
,,,,232,,,232
,,,,233,,,233
,,,,233,,,233
,,,,233,,,233
,,,,234,,,234
,,,,237,,,237
,,,,237,,,237
,,,,237,,,237
,,,,238,,,238
,,,,238,,,238
,,,,238,,,238
,,,,239,,,239
,,,,239,,,239
,,,,239,,,239
,,,,240,,,240
,,,,241,,,241
,,,,241,,,241
,,,,242,,,242
,,,,242,,,242
,,,,242,,,242
,,,,243,,,243
,,,,244,,,244
,,,,244,,,244
,,,,244,,,244
,,,,245,,,245
,,,,245,,,245
,,,,245,,,245
,,,,245,,,245
,,,,245,,,245
,,,,245,,,245
,,,,245,,,245
,,,,245,,,245
,,,,245,,,245
,,,,246,,,246
,,,,246,,,246
,,,,246,,,246
,,,,246,,,246
,,,,247,,,247
,,,,247,,,247
,,,,247,,,247
,,,,247,,,247
,,,,248,,,248
,,,,248,,,248
,,,,248,,,248
,,,,248,,,248
,,,,249,,,249
,,,,249,,,249
,,,,249,,,249
,,,,250,,,250
,,,,250,,,250
,,,,250,,,250
,,,,250,,,250
,,,,251,,,251
,,,,251,,,251
,,,,251,,,251
,,,,252,,,252
,,,,252,,,252
,,,,252,,,252
,,,,252,,,252
,,,,253,,,253
,,,,253,,,253
,,,,253,,,253
,,,,253,,,253
,,,,254,,,254
,,,,254,,,254
,,,,254,,,254
,,,,254,,,254
,,,,254,,,254
,,,,255,,,255
,,,,255,,,255
,,,,255,,,255
,,,,256,,,256
,,,,256,,,256
,,,,256,,,256
,,,,257,,,257
,,,,257,,,257
,,,,257,,,257
,,,,257,,,257
,,,,257,,,257
,,,,258,,,258
,,,,258,,,258
,,,,258,,,258
,,,,258,,,258
,,,,259,,,259
,,,,259,,,259
,,,,259,,,259
,,,,259,,,259
,,,,259,,,259
,,,,260,,,260
,,,,260,,,260
,,,,260,,,260
,,,,260,,,260
,,,,260,,,260
,,,,260,,,260
,,,,260,,,260
,,,,261,,,261
,,,,261,,,261
