OID_,Value,Count,,203,,203
1,203,1,,208,,208
2,208,1,,211,,211
3,211,1,,212,,212
4,212,1,,213,,213
5,213,2,,213,,213
7,214,2,,214,,214
9,216,1,,214,,214
10,217,1,,216,,216
11,218,1,,217,,217
12,219,1,,218,,218
13,221,1,,219,,219
14,223,3,,221,,221
17,225,2,,223,,223
19,226,2,,223,,223
21,227,4,,223,,223
25,228,1,,225,,225
26,229,2,,225,,225
28,230,6,,226,,226
34,231,1,,226,,226
35,232,2,,227,,227
37,233,2,,227,,227
39,234,4,,227,,227
43,237,7,,227,,227
50,238,2,,228,,228
52,239,4,,229,,229
56,240,1,,229,,229
57,241,3,,230,,230
60,242,5,,230,,230
65,243,8,,230,,230
73,244,3,,230,,230
76,245,3,,230,,230
79,246,4,,230,,230
83,247,4,,231,,231
87,248,1,,232,,232
88,249,1,,232,,232
89,250,2,,233,,233
91,251,1,,233,,233
92,252,1,,234,,234
93,253,2,,234,,234
95,254,1,,234,,234
96,255,2,,234,,234
98,256,1,,237,,237
99,257,1,,237,,237
100,258,1,,237,,237
101,260,1,,237,,237
102,261,1,,237,,237
103,262,1,,237,,237
104,264,1,,237,,237
105,265,1,,238,,238
106,266,1,,238,,238
107,267,2,,239,,239
109,272,2,,239,,239
111,273,1,,239,,239
112,275,1,,239,,239
113,282,1,,240,,240
114,283,1,,241,,241
115,284,1,,241,,241
116,285,1,,241,,241
117,290,2,,242,,242
119,291,1,,242,,242
120,292,1,,242,,242
121,293,1,,242,,242
122,295,1,,242,,242
123,299,2,,243,,243
125,300,1,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,243,,243
,,,,244,,244
,,,,244,,244
,,,,244,,244
,,,,245,,245
,,,,245,,245
,,,,245,,245
,,,,246,,246
,,,,246,,246
,,,,246,,246
,,,,246,,246
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,247,,247
,,,,248,,248
,,,,249,,249
,,,,250,,250
,,,,250,,250
,,,,251,,251
,,,,252,,252
,,,,253,,253
,,,,253,,253
,,,,254,,254
,,,,255,,255
,,,,255,,255
,,,,256,,256
,,,,257,,257
,,,,258,,258
,,,,260,,260
,,,,261,,261
,,,,262,,262
,,,,264,,264
,,,,265,,265
,,,,266,,266
,,,,267,,267
,,,,267,,267
,,,,272,,272
,,,,272,,272
,,,,273,,273
,,,,275,,275
,,,,282,,282
,,,,283,,283
,,,,284,,284
,,,,285,,285
,,,,290,,290
,,,,290,,290
,,,,291,,291
,,,,292,,292
,,,,293,,293
,,,,295,,295
,,,,299,,299
,,,,299,,299
,,,,300,,300
,,,,,,
